number,name,address,coordonnees,latitude,longitude
14003,14003 - BRON - PLACE CURIAL,,"['45.736633', '4.917009']",45.736633,4.917009
11003,11003 - CALUIRE - LA ROCHETTE,Quai Gillet au  niveau de la place de la Rochette. Caluire et Cuire.,"['45.791748', '4.823595']",45.791748,4.823595
3039,3039 - PLACE BIR-HAKEIM,Au niveau de la rue Duvivier,"['45.752553', '4.855756']",45.752553,4.855756
10023,10023 - JAURES SAINT EXUPERY,,"['45.757646', '4.883377']",45.757646,4.883377
3053,3053 - GAMBETTA / JUSSERAND,Angle cours Gambetta,"['45.751123', '4.855604']",45.751123,4.855604
2040,2040 - ST ANTOINE / GRENETTE,12 QUAI ST AINTOINE,"['45.7633761875017', '4.83212534541183']",45.7633761875017,4.83212534541183
20002,20002 - OULLINS - MAIRIE,,"['45.714039', '4.806642']",45.714039,4.806642
2024,2024 - RÉPUBLIQUE / MAUPIN,Entre Herriot et République,"['45.758733', '4.834136']",45.758733,4.834136
1035,1035 - QUAI LASSAGNE,3 QUAI ANDRE LASSAGNE,"['45.772191', '4.837917']",45.772191,4.837917
2014,2014 - JACOBINS,3 RUE JEAN DE TOURNES,"['45.760762', '4.834305']",45.760762,4.834305
6037,6037 - CITÉ INTERNATIONALE / INTERPOL,Allée A. Lignon,"['45.782287', '4.849378']",45.782287,4.849378
10083,10083 - CHATEAU GAILLARD / BIENVENUS,2 RUE DES BIENVENUS,"['45.777873', '4.884238']",45.777873,4.884238
2017,2017 - RÉPUBLIQUE / FERRANDIÈRE,Rue de la République,"['45.762184', '4.836023']",45.762184,4.836023
8057,8057 - VIENNE / MONTAGNY,184 ROUTE DE VIENNE,"['45.732483', '4.853406']",45.732483,4.853406
3051,3051 - PLACE HENRI,Angle rue Docteur Long/av. Lacassagne,"['45.748193', '4.880641']",45.748193,4.880641
7014,7014 - MARSEILLE / FÉLISSENT,Rue Felissent angle rue de Marseille,"['45.752989', '4.841417']",45.752989,4.841417
8007,8007 - FRÈRES LUMIÈRE,Angle rue Villon,"['45.745018', '4.866424']",45.745018,4.866424
9006,9006 - THÉÂTRE NOUVELLE GÉNÉRATION,Rue Tissot / angle rue de Bourgogne,"['45.777287', '4.803297']",45.777287,4.803297
10032,10032 - PRIMAT / DECORPS,Rue Antoine Primat/Angle rue Decorps,"['45.757173', '4.89998']",45.757173,4.89998
8021,8021 - PAUL SANTY,Place Général André - Face au 126 avenue Paul Santy,"['45.728542', '4.877279']",45.728542,4.877279
2001,2001 - BELLECOUR / RÉPUBLIQUE,Angle République / rue de la Barre,"['45.758', '4.834594']",45.758,4.834594
2028,2028 - SAINTE-BLANDINE,Face station tram Ste Blandine,"['45.744438', '4.822152']",45.744438,4.822152
2006,2006 - PLACE DE L'HIPPODROME,Angle cours Charlemagne,"['45.745528', '4.82359']",45.745528,4.82359
3021,3021 - PLACE DE LA FERRANDIÈRE,Intersection Ferrandière/Jasseron,"['45.759488', '4.869346']",45.759488,4.869346
8059,8059 - LAENNEC / PINEL,173 BVD PINEL (BRON),"['45.735375', '4.88954']",45.735375,4.88954
1003,1003 - PLACE SATHONAY,6 PLACE SATHONAY,"['45.769289', '4.830127']",45.769289,4.830127
2009,2009 - CONFLUENCE / DOCKS,Sur l'esplanade entre la rue Hrant Dink et le 40 quai Rambaud,"['45.739652', '4.814984']",45.739652,4.814984
2011,2011 - SALA / RUE DU PLAT,Face à la faculté catholique,"['45.756813', '4.828342']",45.756813,4.828342
1001,1001 - TERREAUX / TERME,Angle rue d'Algérie,"['45.767736', '4.832114']",45.767736,4.832114
1016,1016 - PÊCHERIE,Rue de la Platière - Angle quai de la Pêcherie,"['45.765944', '4.831089']",45.765944,4.831089
7056,7056 - PLACE RASPAIL,4 PLACE RASPAIL,"['45.755783', '4.840745']",45.755783,4.840745
10103,10103 - DOUA / RUE DES SPORTS,103 ave des Arts / rue des Sports,"['45.784526', '4.877482']",45.784526,4.877482
10080,10080 - VAILLANT / PERRONCEL,96 RUE ALEXIS PERRONCEL (VILLEURBANNE),"['45.775409', '4.880261']",45.775409,4.880261
5032,5032 - MÉNIVAL / EISENHOWER,,"['45.756757', '4.783206']",45.756757,4.783206
3070,3070 - REBATEL / SAINT-MAXIMIN,,"['45.747835', '4.872261']",45.747835,4.872261
10074,10074 - ZOLA / PASSAGE REY,Cours E. Zola / Angle passage Rey,"['45.770099', '4.876728']",45.770099,4.876728
8015,8015 - JEAN XXIII,RUE MARYSE BASTIE,"['45.740324', '4.874192']",45.740324,4.874192
3089,3089 - TRARIEUX / LACASSAGNE,221 AV. LACASSAGNE,"['45.745304', '4.888964']",45.745304,4.888964
5055,5055 - BUYER / APOLLINAIRE,101 AV. BARTHELEMY BUYER,"['45.762013', '4.802751']",45.762013,4.802751
10048,10048 - PLACE MARENGO,52 AV. MARC SANGNIER (VILLEURBANNE),"['45.759176', '4.875958']",45.759176,4.875958
10115,10115 - PLACE D'ESPAGNE / STADE KRUGER,173 AV. PAUL KRUGER (VILLEURBANNE),"['45.754181', '4.90528']",45.754181,4.90528
10063,10063 - PERRIN / JEAN JAURÈS,7 PLACE JULES GRANDCLEMENT (VILLEURBANNE),"['45.758399', '4.885601']",45.758399,4.885601
10045,10045 - ALSACE ANATOLE FRANCE,,"['45.766921', '4.870087']",45.766921,4.870087
3085,3085 - SACRE COEUR,66 RUE ANTOINE CHARIAL,"['45.757864', '4.868337']",45.757864,4.868337
3024,3024 - ROCKEFELLER / ESQUIROL,Intersection Rockefeller / Esquirol,"['45.741336', '4.885538']",45.741336,4.885538
2041,2041 - SALA / CHARITÉ,44 RUE SALA,"['45.754468', '4.833041']",45.754468,4.833041
10086,10086 - ANATOLE FRANCE,Angle Rue de Préssensé / Flachet,"['45.769837', '4.889629']",45.769837,4.889629
7011,7011 - BERTHELOT / GARIBALDI,Rue Garibaldi - Angle avenue Berthelot,"['45.743756', '4.847406']",45.743756,4.847406
10117,10117 - LA PERRALIÈRE,166 RUE DU QUATRE AOUT (VILLEURBANNE),"['45.764567', '4.892349']",45.764567,4.892349
9041,9041 - CARRET / SÉDALLIAN,10 QUAI PAUL SEDAILLAN,"['45.792478', '4.820567']",45.792478,4.820567
9043,9043 - MARIETTON OUEST,,"['45.776087', '4.799725']",45.776087,4.799725
3091,3091 - HOPITAL NEUROLOGIQUE,54 BVD PINEL,"['45.748286', '4.896975']",45.748286,4.896975
1024,1024 - ROUVILLE,PLACE ROUVILLE,"['45.769684', '4.824607']",45.769684,4.824607
10035,10035 - BOIRON GRANGER,43 RUE PIERRE BARATIN (VILLEURBANNE),"['45.763139', '4.900492']",45.763139,4.900492
5005,5005 - SAINT-PAUL,Près de la gare de St Paul,"['45.766278', '4.827425']",45.766278,4.827425
4041,4041 - BOUSSANGES / AUSTERLITZ,25 RUE D'AUSTERLITZ,"['45.775070841112', '4.83549930268728']",45.775070841112,4.83549930268728
6043,6043 - CITÉ INTERNATIONALE / CINÉMA,80 QUAI CHARLES DE GAULLE,"['45.784698', '4.851896']",45.784698,4.851896
7051,7051 - GUILLOTIERE / NICOLAÏ,,"['45.747933', '4.856358']",45.747933,4.856358
3088,3088 - PLACE GUICHARD,65 RUE MAZENOD,"['45.75882', '4.846453']",45.75882,4.846453
10059,10059 - ANATOLE FRANCE / ZOLA,Rue Anatole France,"['45.76884', '4.884276']",45.76884,4.884276
8040,8040 - AMBROISE PARÉ,Face au 54 Boulevard Ambroise Paré,"['45.736289', '4.883667']",45.736289,4.883667
9040,9040 - PLACE RHODIACETA,1 PLACE DE LA RHODIACETA,"['45.770991', '4.807578']",45.770991,4.807578
6016,6016 - VIABERT / THIERS,Angle avenue Thiers,"['45.766032', '4.862063']",45.766032,4.862063
6008,6008 - PLACE JULES FERRY,17 PLACE JULES FERRY,"['45.7684', '4.858972']",45.7684,4.858972
2019,2019 - SUCRIERE,,"['45.736216', '4.815348']",45.736216,4.815348
5004,5004 - SAINT-JEAN,Entre la cathédrale et le funiculaire,"['45.760468', '4.826548']",45.760468,4.826548
10030,10030 - GREUZE,126 RUE DU 8 MAI 1945 (VILLEURBANNE),"['45.773845', '4.893851']",45.773845,4.893851
10118,10118 - VOYANT / CHAMBFORT,99 RUE PIERRE VOYANT (VILLEURBANNE),"['45.767194', '4.900597']",45.767194,4.900597
8060,8060 - SANTY / BEAUVISAGE,,"['45.731708', '4.874205']",45.731708,4.874205
1022,1022 - PLACE TOLOZAN,Place Tolozan - Angle nord-est de la place,"['45.769508', '4.837495']",45.769508,4.837495
3031,3031 - CORNEILLE / SERVIENT,Angle rue Servient,"['45.759906', '4.844511']",45.759906,4.844511
10001,10001 - IUT / FEYSSINE,rue de la Technologie,"['45.785632', '4.882366']",45.785632,4.882366
3043,3043 - PLACE ROUGET DE L'ISLE,Avenue Lacassagne,"['45.753975', '4.867336']",45.753975,4.867336
6001,6001 - GARE DES BROTTEAUX,Place Jules Ferry angle rue Général Brosset face à la gare des Brotteaux,"['45.766893', '4.858922']",45.766893,4.858922
20001,20001 - OULLINS - GARE,,"['45.717001', '4.814072']",45.717001,4.814072
10114,10114 - BEL AIR / LES BROSSES,2 AV. DU BEL AIR (VILLEURBANNE),"['45.757931', '4.910776']",45.757931,4.910776
4008,4008 - CLOS SAVARON,,"['45.782631', '4.825576']",45.782631,4.825576
10071,10071 - LYCÉE MARIE CURIE,64 BVD EUGENE REGUILLON (VILLEURBANNE),"['45.761532', '4.895763']",45.761532,4.895763
10038,10038 - CONDORCET,Bvd 11 Nov./prox. arret tram Condorcet,"['45.779062', '4.866874']",45.779062,4.866874
10060,10060 - SAINT EXUPÉRY,Avenue Antoine Saint Exupery,"['45.758874', '4.878683']",45.758874,4.878683
4005,4005 - PLACE BERTONE,Rue du Chariot d'Or,"['45.77762', '4.83453']",45.77762,4.83453
7031,7031 - JAURÈS / GERLAND,42 Rue de Gerland 69007 Lyon,"['45.739827', '4.840308']",45.739827,4.840308
9050,9050 - ALLEE DE L'EUROPE,AVENUE DU PLATEAU,"['45.783698', '4.794485']",45.783698,4.794485
10087,10087 - BARATIN,Face au 115 rue Pierre Baratin,"['45.760603', '4.900702']",45.760603,4.900702
4026,4026 - BIRMINGHAM,Avenue Birmingham sortie tunnel mode doux côté Saöne - 69000 Lyon,"['45.774632', '4.813425']",45.774632,4.813425
10041,10041 - KIMMERLING,1 PLACE KIMMERLING (VILLEURBANNE),"['45.752923', '4.898891']",45.752923,4.898891
2020,2020 - MUSÉE DES CONFLUENCES,Parvis du musée des confluences,"['45.733388', '4.818954']",45.733388,4.818954
17003,17003 - ST FONS - THEATRE,,"['45.708123', '4.861905']",45.708123,4.861905
4001,4001 - CONSERVATOIRE BIS,,"['45.770392', '4.814254']",45.770392,4.814254
10043,10043 - SALENGRO / FEYSSINE,RUE DE LA FEYSSINE (VILLEURBANNE),"['45.782994', '4.890614']",45.782994,4.890614
5007,5007 - PLACE DE TRION,Place de Trion,"['45.757916', '4.81317']",45.757916,4.81317
3015,3015 - SERVIENT / GARIBALDI,Angle rue Garibaldi,"['45.760779', '4.85276']",45.760779,4.85276
8037,8037 - CAZENEUVE,Rue Paul Cazeneuve - Angle du boulevard des Etats-Unis,"['45.734027', '4.862906']",45.734027,4.862906
3010,3010 - PART-DIEU / CUIRASSIERS (FAR),Rue des Cuirassiers Lyon 3,"['45.7589457457871', '4.85624511710564']",45.7589457457871,4.85624511710564
7018,7018 - LYCEE LOUISE LABE,2 Rue Crépet 69007 Lyon,"['45.740279', '4.832061']",45.740279,4.832061
2015,2015 - RÉPUBLIQUE / STELLA,Côté est de la place,"['45.760698', '4.836279']",45.760698,4.836279
10056,10056 - 11 NOVEMBRE / GASTON BERGER,Avenue du 11 Nov./angle av Gaston Berger,"['45.779066', '4.871581']",45.779066,4.871581
3029,3029 - PLACE ARISTIDE BRIAND,Angle Gambetta,"['45.752967', '4.850271']",45.752967,4.850271
10061,10061 - RÉPUBLIQUE,Cours Emile Zola/Angle cours de la République,"['45.7708541', '4.8726116']",45.7708541,4.8726116
4003,4003 - PLACE COMMANDANT  ARNAUD,Angle rue de Belfort,"['45.779731', '4.834708']",45.779731,4.834708
7064,7064 - CROUS,96 RUE CHEVREUL,"['45.74541', '4.847843']",45.74541,4.847843
4017,4017 - PLACE DES TAPIS,Angle Bvd de la Croix-Rousse,"['45.776002', '4.829628']",45.776002,4.829628
34001,34001 - NEUVILLE - QUAI PASTEUR,,"['45.876622', '4.838578']",45.876622,4.838578
3068,3068 - FAURE / MEYNIS,,"['45.755068', '4.871457']",45.755068,4.871457
3082,3082 - SAXE / MONCEY,33 RUE MONCEY,"['45.757578', '4.846117']",45.757578,4.846117
10046,10046 - CHARMETTES/ZOLA,Rue des Charmettes/Angle Cours Emile Zola,"['45.770705', '4.867201']",45.770705,4.867201
7046,7046 - PLACE DE L'ECOLE,Angle rue de St Cloud,"['45.730083', '4.82781']",45.730083,4.82781
5050,5050 - THEATRE ROMAIN,1 RUE DE L'ANTIQUAILLE,"['45.758333', '4.821075']",45.758333,4.821075
7002,7002 - UNIVERSITÉS LYON III / LYON II,Quai Claude Bernard,"['45.7511023770123', '4.83615396294288']",45.7511023770123,4.83615396294288
3007,3007 - PLACE D'ARSONVAL,A côté du stand de fleurs,"['45.743396', '4.87897']",45.743396,4.87897
3006,3006 - VILLETTE / SAINT-ANTOINE,,"['45.762876', '4.862249']",45.762876,4.862249
6007,6007 - MASSÉNA,Angle Cours Vitton,"['45.769654', '4.852366']",45.769654,4.852366
1037,1037 - CHAZETTE LASSAGNE,,"['45.77291', '4.837315']",45.77291,4.837315
9051,9051 - ANDREI SAKHAROV,373 AV. ANDREI SAKHAROV,"['45.786546', '4.797107']",45.786546,4.797107
7012,7012 - MERIEUX / PAVILLONS,246 RUE MARCEL MERIEUX,"['45.7291359373026', '4.8301170098658']",45.7291359373026,4.8301170098658
7049,7049 - CITÉ SCOLAIRE INTERNATIONALE,27–33 Rue Alexander Fleming 69007 Lyon,"['45.727951', '4.823563']",45.727951,4.823563
6005,6005 - PLACE EDGAR QUINET,Devant le lycée,"['45.765811', '4.844767']",45.765811,4.844767
10102,10102 - DOUA / GASTON BERGER,ave G. Berger,"['45.781008', '4.871219']",45.781008,4.871219
6023,6023 - QUAI SARRAIL,Niveau rue de Sèze,"['45.766821', '4.841095']",45.766821,4.841095
7034,7034 - PISCINE DU RHÔNE,Sur le quai devant l'entrée de la piscine,"['45.753705', '4.838283']",45.753705,4.838283
1020,1020 - TERREAUX / CHENAVARD,Rue Chenavard - Côté place des Terreaux,"['45.766763', '4.832942']",45.766763,4.832942
10064,10064 - 4 AOÛT 1789,Angle Rue Rollet/Blanqui,"['45.764812', '4.884311']",45.764812,4.884311
8050,8050 - BATAILLE / KRÜGER,,"['45.736219', '4.879855']",45.736219,4.879855
10015,10015 - POUDRETTE / MUSSET,,"['45.757936', '4.921156']",45.757936,4.921156
7010,7010 - CENTRE BERTHELOT,Rue Pasteur - Angle avenue Berthelot,"['45.747358', '4.836009']",45.747358,4.836009
30001,30001 - RILLIEUX - CANELLAS,,"['45.805207', '4.88477']",45.805207,4.88477
8020,8020 - MOULIN A VENT,,"['45.729714', '4.854338']",45.729714,4.854338
10101,10101 - EINSTEIN / 11 NOVEMBRE 1918,43 BVD DU 11 NOVEMBRE 1918 (VILLEURBANNE),"['45.779429', '4.873992']",45.779429,4.873992
11001,11001 - CALUIRE - GARE DE CUIRE,2 RUE CLAUDE BERNARD (CALUIRE ET CUIRE),"['45.785796', '4.833733']",45.785796,4.833733
7022,7022 - JAURÈS / LAGRANGE,16 Impasse du Pré Gaudry 69007 Lyon,"['45.743975', '4.841463']",45.743975,4.841463
3102,3102 - DOCTEUR LONG / CAILLE,135 COURS DOCTEUR LONG,"['45.75254', '4.894272']",45.75254,4.894272
16004,16004 - VENISSIEUX PARILLY,,"['45.719746', '4.888457']",45.719746,4.888457
10088,10088 - 4 AOÛT 1789 / PRESSENSÉ,COURS EMILE ZOLA (VILLEURBANNE),"['45.76611', '4.898539']",45.76611,4.898539
7020,7020 - PARC DE GERLAND,Allée Pierre de Coubertin,"['45.724352', '4.826821']",45.724352,4.826821
10031,10031 - CROIX LUIZET,sur la place Croix Luizet,"['45.780679', '4.88356']",45.780679,4.88356
5054,5054 - CHAMPVERT,192 AV. BARTHELEMY BUYER,"['45.763906', '4.792643']",45.763906,4.792643
7025,7025 - LACOUR / ARTILLERIE,,"['45.729454', '4.844228']",45.729454,4.844228
4011,4011 - PLACE JOANNÈS AMBRE,Place Jean Ambre,"['45.781574', '4.832866']",45.781574,4.832866
1002,1002 - OPÉRA,Angle rue Serlin - Angle place de la comédie,"['45.767611', '4.836619']",45.767611,4.836619
2042,2042 - JOFFRE / VAUBECOUR,43 RUE VAUBECOUR,"['45.751873', '4.824763']",45.751873,4.824763
16003,16003 - VÉNISSIEUX - JOLIOT CURIE / SEMBAT,,"['45.71532', '4.878337']",45.71532,4.878337
9032,9032 - PLACE DU PORT MOUTON,Quai Arloing Côté Saône,"['45.773815', '4.809566']",45.773815,4.809566
14005,14005 - BRON - UNIVERSITE,,"['45.72284', '4.915219']",45.72284,4.915219
11002,11002 - CALUIRE - SAINT-CLAIR,49 COURS ARISTIDE BRIAND (CALUIRE),"['45.785465', '4.847838']",45.785465,4.847838
3003,3003 - PART-DIEU / DERUELLE,Face rue Massena entrée centre commercial,"['45.762974', '4.855071']",45.762974,4.855071
9002,9002 - MAIRIE DU 9E,Prox. métro Valmy,"['45.774241', '4.805676']",45.774241,4.805676
10116,10116 - BLUM / FAYS,,"['45.760526', '4.905877']",45.760526,4.905877
10039,10039 - BOUVIER,Rue Professeur Bouvier/Angle rue du 8 mai 1945,"['45.779487', '4.891692']",45.779487,4.891692
6006,6006 - BOULEVARD DES BELGES,Boulevard des Belges - Angle rue Duquesne,"['45.773304', '4.852001']",45.773304,4.852001
12005,12005 - VAULX - VILLAGE,,"['45.786262', '4.926788']",45.786262,4.926788
10002,10002 - INSA,Avenue Albert Einstein au niveau du virage,"['45.782222', '4.876951']",45.782222,4.876951
7016,7016 - PLACE SAINT LOUIS,Rue de la Madeleine - Angle rue St Lazarre,"['45.748925', '4.847714']",45.748925,4.847714
5008,5008 - SAINTE-IRÉNÉE,Place Sainte Irénée,"['45.754978', '4.812427']",45.754978,4.812427
27001,27001 - COLLONGES - GARE,,"['45.830874', '4.846988']",45.830874,4.846988
34002,34002 - NEUVILLE - STADE,,"['45.870877', '4.839595']",45.870877,4.839595
12004,12004 - VAULX - HÔTEL DE VILLE,,"['45.778178', '4.920544']",45.778178,4.920544
10054,10054 - STALINGRAD / MELIÈS,RUE GEORGES MELIES (VILLEURBANNE),"['45.776715', '4.859573']",45.776715,4.859573
1021,1021 - TERREAUX / BEAUX ARTS,Rue Herriot - Devant Musée des Beaux Arts,"['45.767062', '4.834294']",45.767062,4.834294
2007,2007 - PATINOIRE CHARLEMAGNE,Angle rue Casimir Périer,"['45.742617', '4.820464']",45.742617,4.820464
8004,8004 - MAIRIE DU 8E,Devant la mairie du 8e,"['45.735158', '4.872803']",45.735158,4.872803
3044,3044 - QUAI AUGAGNEUR,Entre rue de Bonnel et rue Rabelais,"['45.762023', '4.841053']",45.762023,4.841053
33001,33001 - ALBIGNY - GARE,,"['45.874978', '4.833024']",45.874978,4.833024
16005,16005 - VENISSIEUX - GARE,,"['45.708509', '4.886939']",45.708509,4.886939
10019,10019 - 4 AOUT / RACINE,,"['45.764489', '4.877894']",45.764489,4.877894
10025,10025 - TOTEM,,"['45.763652', '4.873158']",45.763652,4.873158
8034,8034 - BERTHELOT / VILLON,Angle avenue Berthelot,"['45.738301', '4.862727']",45.738301,4.862727
3084,3084 - DESAIX,143 RUE PAUL BERT,"['45.757268', '4.855193']",45.757268,4.855193
5026,5026 - RUE DE LA BALEINE,Angle quai Romain Rolland,"['45.763383', '4.829024']",45.763383,4.829024
3038,3038 - VIVIER MERLE / PAUL BERT EST,Devant le bâtiment du Klesia,"['45.757147', '4.858975']",45.757147,4.858975
11005,11005 - CALUIRE - PASSERELLE DE LA PAIX,,"['45.787941', '4.853035']",45.787941,4.853035
3019,3019 - PART-DIEU / DERUELLE,Intersection Bd Vivier Merle - Rue Eugène Deruelle Lyon 3,"['45.76326', '4.85749']",45.76326,4.85749
3079,3079 - PLACE LOUISE,4 PLACE LOUISE,"['45.75118', '4.884795']",45.75118,4.884795
2025,2025 - MERCIÈRE / FERRANDIÈRE,Entre rue de Brest et rue Mercière,"['45.762054', '4.833194']",45.762054,4.833194
7004,7004 - MAIRIE DU 7E,Place Jean Macé - Face à la mairie,"['45.74656', '4.842265']",45.74656,4.842265
5031,5031- MÉNIVAL / JOLIOT CURIE,49 RUE JOLIOT CURIE,"['45.754654', '4.78821']",45.754654,4.78821
2039,2039 - CHARITÉ / RÉCAMIER,86 RUE DE LA CHARITE,"['45.749257', '4.82984']",45.749257,4.82984
12003,12003 - VAULX - BIBLIOTHEQUE,,"['45.757092', '4.92731']",45.757092,4.92731
25001,25001 - ST CYR,,"['45.799742', '4.819607']",45.799742,4.819607
5041,5041 - L'HOMME DE LA ROCHE,55 QUAI PIERRE SCIZE,"['45.766576', '4.820214']",45.766576,4.820214
5009,5009 - PLACE ENNEMOND FOUSSERET,angle quai de Bondy,"['45.764695', '4.828969']",45.764695,4.828969
3034,3034 - GARIBALDI / PENSIONNAT,,"['45.754727', '4.85346']",45.754727,4.85346
8030,8030 - LAËNNEC,Angle rue Nungesser et Coli,"['45.741425', '4.879733']",45.741425,4.879733
5036,5036 - LA SALETTE,104 RUE DU COMMANDANT CHARCOT,"['45.749627', '4.795546']",45.749627,4.795546
8003,8003 - CLAUDE BERNARD LYON I,Devant entrée de la fac,"['45.738135', '4.886885']",45.738135,4.886885
3100,3100 - SISLEY / DAUPHINE,61 RUE DU DAUPHINE,"['45.7524835251712', '4.8687553636982']",45.7524835251712,4.8687553636982
28002,28002 - FONTAINES S/S - GAMBETTA,,"['45.835406', '4.8457']",45.835406,4.8457
10027,10027 - MAIRIE DE VILLEURBANNE,Avenue Aristide Briand en face de la mairie,"['45.766861', '4.880059']",45.766861,4.880059
1012,1012 - AMPÈRE / BOURSE,Rue de la Bourse - Long du Collège-Lycée Ampère,"['45.765789', '4.836906']",45.765789,4.836906
10036,10036 - STALINGRAD,Boulevard Stalingrad/angle rue Charlie Chaplin,"['45.77435', '4.859157']",45.77435,4.859157
2018,2018 - HOTEL DIEU / PONT DE LA GUILLOTIERE,,"['45.757571', '4.837183']",45.757571,4.837183
2030,2030 - RÉPUBLIQUE / POULAILLERIE,Angle Poulaillerie / République,"['45.764079', '4.835554']",45.764079,4.835554
8051,8051 - HÔPITAL SAINT-JEAN DE DIEU,303 ROUTE DE VIENNE (VENISSIEUX),"['45.724172', '4.854165']",45.724172,4.854165
7057,7057 - JAURES / BOLLIER,217b–221 Avenue Jean Jaurès 69007 Lyon,"['45.734712', '4.835486']",45.734712,4.835486
17001,17001 - ST FONS - ARSENAL,,"['45.712362', '4.855202']",45.712362,4.855202
7052,7052 - PARC BLANDAN,Rue de l'Epargne,"['45.745939', '4.851214']",45.745939,4.851214
7001,7001 - PLACE GABRIEL PÉRI,Place Gabriel Péri,"['45.754875', '4.843627']",45.754875,4.843627
6036,6036 - MUSÉE D'ART CONTEMPORAIN,Allée A. Lignon,"['45.783885', '4.852156']",45.783885,4.852156
7005,7005 - DEBOURG,Avenue Debourg - Angle avenue Jean Jaurès,"['45.73182', '4.833996']",45.73182,4.833996
8052,8052 - CLINIQUE MONPLAISIR,2 AV. DES FRERES LUMIERE,"['45.747091', '4.860196']",45.747091,4.860196
6011,6011- MAIRIE DU 6E,Angle rue Boileau,"['45.768395', '4.849402']",45.768395,4.849402
7061,7061 - JAURES / UNIVERSITE,64 AV. JEAN JAURES,"['45.748545', '4.843249']",45.748545,4.843249
10013,10013 - CUSSET,103 RUE PIERRE VOYANT (VILLEURBANNE),"['45.764961', '4.901018']",45.764961,4.901018
2005,2005 - CONFLUENCE HÔTEL DE RÉGION,101 cours Charlemagne Lyon 2 direction centre ville. Devant l'hôtel de Région,"['45.740675', '4.819284']",45.740675,4.819284
1032,1032 - PIZAY,17 RUE PIZAY,"['45.767165', '4.836334']",45.767165,4.836334
5030,5030 - CHARCOT / RÉSIDENCE UNIVERSITAIRE,Angle rue du fort Ste Irénée / Charcot,"['45.755054', '4.807811']",45.755054,4.807811
8039,8039 - PIERRE DELORE,97 ROUTE DE VIENNE,"['45.738617', '4.852412']",45.738617,4.852412
7062,7062 - GARIBALDI / DOMER,51 RUE DOMER,"['45.747735', '4.85162']",45.747735,4.85162
2002,2002 - BELLECOUR / ST EXUPÉRY,PLACE BELLECOUR Côté rue Lintier,"['45.758149', '4.830428']",45.758149,4.830428
3087,3087 - PART-DIEU / GARIBALDI,4 BVD EUGENE DERUELLE,"['45.762768', '4.852563']",45.762768,4.852563
9004,9004 - GARE DE VAISE,Face entrée de la gare,"['45.779786', '4.804666']",45.779786,4.804666
8002,8002- PLACE AMBROISE COURTOIS,Face au cours Albert Thomas,"['45.745296', '4.871604']",45.745296,4.871604
10007,10007 - PIATON / CONDORCET,Av Piaton / angle Condorcet,"['45.774204', '4.867512']",45.774204,4.867512
9033,9033 - GORGE DE LOUP,49 RUE SGT BERTHET,"['45.767484', '4.805626']",45.767484,4.805626
5001,5001 - PLACE VARILLON (FUNICULAIRE ST JUST),Devant le n°63 rue de Trion,"['45.757319', '4.815064']",45.757319,4.815064
3018,3018 - CRÉQUI / VOLTAIRE,Angle rue Paul Bert,"['45.756596', '4.848442']",45.756596,4.848442
